Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page
va-26058-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531894.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531894.jpg
va-26107-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531895.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531895.jpg
va-26126-1.jpg  <-  File:Bodnant Garden, formal gardens - geograph.org.uk - 5590539.jpg | CC BY-SA 2.0 | Stephen Craven | https://commons.wikimedia.org/wiki/File:Bodnant_Garden,_formal_gardens_-_geograph.org.uk_-_5590539.jpg
va-26157-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531887.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531887.jpg
va-26158-1.jpg  <-  File:Formal Garden, Cragside - geograph.org.uk - 6293492.jpg | CC BY-SA 2.0 | Ian Capper | https://commons.wikimedia.org/wiki/File:Formal_Garden,_Cragside_-_geograph.org.uk_-_6293492.jpg
va-26159-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531881.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531881.jpg
va-26160-1.jpg  <-  File:Formal Garden, Cragside - geograph.org.uk - 6632604.jpg | CC BY-SA 2.0 | Peter Jeffery | https://commons.wikimedia.org/wiki/File:Formal_Garden,_Cragside_-_geograph.org.uk_-_6632604.jpg
va-26164-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531919.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531919.jpg
va-26165-1.jpg  <-  File:Formal Garden, Cragside - geograph.org.uk - 6632604.jpg | CC BY-SA 2.0 | Peter Jeffery | https://commons.wikimedia.org/wiki/File:Formal_Garden,_Cragside_-_geograph.org.uk_-_6632604.jpg
va-26171-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531894.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531894.jpg
va-26172-1.jpg  <-  File:Manor House Gardens - geograph.org.uk - 2403894.jpg | CC BY-SA 2.0 | Mike Quinn | https://commons.wikimedia.org/wiki/File:Manor_House_Gardens_-_geograph.org.uk_-_2403894.jpg
va-26174-1.jpg  <-  File:Cragside - formal garden - geograph.org.uk - 7937536.jpg | CC BY-SA 2.0 | Chris Allen | https://commons.wikimedia.org/wiki/File:Cragside_-_formal_garden_-_geograph.org.uk_-_7937536.jpg
va-26175-1.jpg  <-  File:Old Manor House Garden, Capel Manor, Enfield - geograph.org.uk - 3531903.jpg | CC BY-SA 2.0 | Christine Matthews | https://commons.wikimedia.org/wiki/File:Old_Manor_House_Garden,_Capel_Manor,_Enfield_-_geograph.org.uk_-_3531903.jpg
va-26178-1.jpg  <-  File:Chenies Manor House, Garden sculpture 3 (closer view) - geograph.org.uk - 5465033.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_3_(closer_view)_-_geograph.org.uk_-_5465033.jpg
va-26180-1.jpg  <-  File:Garden wall and gateway to the Manor House, Cold Ashton - geograph.org.uk - 5475733.jpg | CC BY-SA 2.0 | Tim Heaton | https://commons.wikimedia.org/wiki/File:Garden_wall_and_gateway_to_the_Manor_House,_Cold_Ashton_-_geograph.org.uk_-_5475733.jpg
va-26173-1.jpg  <-  File:Cottage garden border at Boreham, Essex, England.jpg | CC BY-SA 4.0 | Acabashi | https://commons.wikimedia.org/wiki/File:Cottage_garden_border_at_Boreham,_Essex,_England.jpg
